text,joy_label,sadness_label,anger_label,fear_label,trust_label,disgust_label,surprise_label,anticipation_label
I'm worried about my spouse's family history of cancer.,0,0,0,1,0,0,0,0
The storm outside has me cowering under these thick blankets,0,0,0,1,0,0,0,0
The thought of dementia stealing my memories horrifies me.,0,0,0,1,0,0,0,0
The strange man at the bus stop is making me uncomfortable.,0,0,0,1,0,0,0,0
I'm scared that artificial intelligence will replace human workers everywhere.,0,0,0,1,0,0,0,0
What if the climate predictions are actually too conservative,0,0,0,1,0,0,0,0
What if my lie detector test reveals everything I've hidden?,0,0,0,1,0,0,0,0
This suspicious email has me worried about identity theft,0,0,0,1,0,0,0,0
That horror movie left me too scared to sleep,0,0,0,1,0,0,0,0
I'm panicking about whether I locked the front door this morning,0,0,0,1,0,0,0,0
I worry that my social media posts might hurt my career prospects,0,0,0,1,0,0,0,0
The thought of being diagnosed with a terminal illness paralyzes me with dread,0,0,0,1,0,0,0,0
What if I'm making a terrible financial mistake with this investment?,0,0,0,1,0,0,0,0
I can't control my racing thoughts about tomorrow's surgery.,0,0,0,1,0,0,0,0
I fear my introversion will limit my professional advancement opportunities,0,0,0,1,0,0,0,0
I'm anxious about my child's struggles with bullying,0,0,0,1,0,0,0,0
The interview panel looked unimpressed and I'm second guessing every answer,0,0,0,1,0,0,0,0
The thought of my aging parents needing full-time care overwhelms me with dread,0,0,0,1,0,0,0,0
I'm dreading this difficult conversation with my parents,0,0,0,1,0,0,0,0
What if my partner's job transfer forces us to move somewhere dangerous?,0,0,0,1,0,0,0,0
What if this chest pain means something serious is wrong with me?,0,0,0,1,0,0,0,0
I feel sick with anxiety about meeting his parents this weekend,0,0,0,1,0,0,0,0
This medication's side effects sound scary,0,0,0,1,0,0,0,0
I can't stop worrying about what people will think of me,0,0,0,1,0,0,0,0
What if I never recover emotionally from this devastating loss and betrayal?,0,0,0,1,0,0,0,0
I'm scared of losing touch with reality during stressful periods,0,0,0,1,0,0,0,0
The medical appointment results will determine my entire future treatment plan,0,0,0,1,0,0,0,0
What if my social anxiety prevents me from networking?,0,0,0,1,0,0,0,0
I'm scared of commitment and ruining everything we have,0,0,0,1,0,0,0,0
What if the surgery doesn't go as planned and complications arise?,0,0,0,1,0,0,0,0
The thought of giving birth fills me with complete dread.,0,0,0,1,0,0,0,0
What if we can't pay the mortgage this month,0,0,0,1,0,0,0,0
I'm scared of commitment and ruining another good relationship,0,0,0,1,0,0,0,0
I can't shake the feeling that everyone at work knows something I don't about layoffs.,0,0,0,1,0,0,0,0
The financial stress is giving me constant anxiety.,0,0,0,1,0,0,0,0
The symptoms match everything I've read about this terrible degenerative disease online,0,0,0,1,0,0,0,0
The dark alley shortcut makes me reconsider my route home,0,0,0,1,0,0,0,0
The basement door creaks and I'm too frightened to investigate,0,0,0,1,0,0,0,0
The deadline is approaching and I'm nowhere near ready,0,0,0,1,0,0,0,0
I'm absolutely horrified by the thought of dementia,0,0,0,1,0,0,0,0
The camping trip sounds fun but bears really scare me.,0,0,0,1,0,0,0,0
I'm worried sick about my dog's unusual behavior lately.,0,0,0,1,0,0,0,0
What if I never find my true purpose in this life?,0,0,0,1,0,0,0,0
The phone call from an unknown number at midnight scared me.,0,0,0,1,0,0,0,0
I'm scared that retirement will leave me feeling useless and forgotten,0,0,0,1,0,0,0,0
What if my child inherits my struggles with depression and anxiety disorders,0,0,0,1,0,0,0,0
What if I discover that everything I believed about myself was completely wrong?,0,0,0,1,0,0,0,0
Every shadow in the hallway looks threatening when I'm home alone,0,0,0,1,0,0,0,0
The growling sound in the woods doesn't sound like wildlife,0,0,0,1,0,0,0,0
The idea of being alone forever keeps me awake most nights lately,0,0,0,1,0,0,0,0
I'm afraid of being judged for my unconventional lifestyle,0,0,0,1,0,0,0,0
I'm worried about my ability to provide for my family,0,0,0,1,0,0,0,0
I'm trembling at the thought of confronting my roommate about their destructive behavior.,0,0,0,1,0,0,0,0
The interview went badly and now I'm dreading the rejection email,0,0,0,1,0,0,0,0
The strange noise in my car engine fills me with concern.,0,0,0,1,0,0,0,0
This relationship feels like it's heading toward disaster.,0,0,0,1,0,0,0,0
What if I make a mistake at work that costs the company millions?,0,0,0,1,0,0,0,0
I'm nervous about meeting my partner's disapproving family members tomorrow.,0,0,0,1,0,0,0,0
I'm terrified of commitment and ruining another good relationship.,0,0,0,1,0,0,0,0
What if my elderly mother's confusion is actually early-stage dementia beginning to develop?,0,0,0,1,0,0,0,0
My stomach churns whenever someone mentions the upcoming layoffs at work,0,0,0,1,0,0,0,0
What if I'm not emotionally ready to be a parent?,0,0,0,1,0,0,0,0
What if I never recover from this injury and can't play sports again,0,0,0,1,0,0,0,0
What if I never recover from this emotional breakdown?,0,0,0,1,0,0,0,0
What if the treatment doesn't work and gets worse?,0,0,0,1,0,0,0,0
What if I never recover from this depression?,0,0,0,1,0,0,0,0
I'm frightened by the intensity of my own emotions,0,0,0,1,0,0,0,0
I'm anxious about climate change affecting my children's future world,0,0,0,1,0,0,0,0
I'm scared of what happens when the money runs out,0,0,0,1,0,0,0,0
I keep imagining all the ways this vacation could go horribly wrong,0,0,0,1,0,0,0,0
The suspicious lump wasn't there last month during my shower,0,0,0,1,0,0,0,0
I'm frightened by the possibility of World War Three,0,0,0,1,0,0,0,0
I'm terrified of running into my ex at tonight's party,0,0,0,1,0,0,0,0
The unexpected knock on the door at this late hour is making me paranoid.,0,0,0,1,0,0,0,0
The surgery has me imagining every possible complication.,0,0,0,1,0,0,0,0
The thought of natural disasters hitting our area worries me,0,0,0,1,0,0,0,0
Will I ever overcome this crippling fear of public speaking?,0,0,0,1,0,0,0,0
The medical test results are due and I'm trembling,0,0,0,1,0,0,0,0
I'm scared of making decisions because every choice seems to have terrible consequences.,0,0,0,1,0,0,0,0
I'm frightened by how quickly my health has deteriorated.,0,0,0,1,0,0,0,0
The blood test results appointment has me pacing nervously,0,0,0,1,0,0,0,0
I'm scared my relationship is falling apart without warning,0,0,0,1,0,0,0,0
I'm anxious about whether my vote actually matters anymore,0,0,0,1,0,0,0,0
I'm worried about my daughter's safety at college so far away,0,0,0,1,0,0,0,0
The horror movie trailer alone gave me nightmares for three nights,0,0,0,1,0,0,0,0
What if I fail this final exam and have to repeat the entire semester,0,0,0,1,0,0,0,0
Will technology eventually replace my entire profession?,0,0,0,1,0,0,0,0
I'm tremendously fearful about my parents aging rapidly,0,0,0,1,0,0,0,0
I'm terrified of commitment but I think he's going to propose soon.,0,0,0,1,0,0,0,0
The upcoming surgery on my pet fills me with dread,0,0,0,1,0,0,0,0
What if my teenager experiments with dangerous drugs at college?,0,0,0,1,0,0,0,0
The storm warning has everyone in town panicked.,0,0,0,1,0,0,0,0
What if I'm making a terrible mistake by moving away?,0,0,0,1,0,0,0,0
The financial debt is overwhelming and I don't know what to do,0,0,0,1,0,0,0,0
The power outage during this thunderstorm is absolutely frightening,0,0,0,1,0,0,0,0
I'm anxious about whether we're saving enough for college tuition,0,0,0,1,0,0,0,0
My anxiety spikes every time I hear sirens in the distance,0,0,0,1,0,0,0,0
What if the biopsy results come back positive?,0,0,0,1,0,0,0,0
I'm paralyzed with fear about my teenager starting to drive on busy highways,0,0,0,1,0,0,0,0
What if the contractor damages our house during renovation?,0,0,0,1,0,0,0,0
My palms sweat just thinking about the job interview.,0,0,0,1,0,0,0,0
The thought of public speaking makes my stomach turn completely,0,0,0,1,0,0,0,0
The flood waters are rising faster than anyone predicted,0,0,0,1,0,0,0,0
The hurricane warnings are predicting unprecedented destruction levels,0,0,0,1,0,0,0,0
I'm petrified of speaking in front of the board meeting,0,0,0,1,0,0,0,0
The deadline is approaching and I'm falling behind,0,0,0,1,0,0,0,0
What if my children don't respect or love me when they're adults?,0,0,0,1,0,0,0,0
The surgery complications could leave me permanently disabled unfortunately.,0,0,0,1,0,0,0,0
The idea of my aging dog suffering makes me consider euthanasia with heavy heart,0,0,0,1,0,0,0,0
My claustrophobia is triggered just thinking about that tiny apartment.,0,0,0,1,0,0,0,0
What if the interview reveals that I'm completely unqualified for this position?,0,0,0,1,0,0,0,0
What if the plane experiences severe turbulence during the flight?,0,0,0,1,0,0,0,0
The neighborhood has become unsafe and I feel vulnerable,0,0,0,1,0,0,0,0
I'm absolutely petrified about performing solo in front of such a large audience.,0,0,0,1,0,0,0,0
The thunderstorm outside has me completely on edge,0,0,0,1,0,0,0,0
Tight spaces trigger claustrophobia that leaves me gasping frantically,0,0,0,1,0,0,0,0
My palms sweat profusely during job interviews,0,0,0,1,0,0,0,0
The ominous clouds suggest a dangerous storm approaching,0,0,0,1,0,0,0,0
I'm trembling because I can't shake the feeling that something terrible is about to happen.,0,0,0,1,0,0,0,0
The possibility of my house burning down while we're sleeping haunts my dreams,0,0,0,1,0,0,0,0
My heart pounds every time the phone rings late at night,0,0,0,1,0,0,0,0
Heights make me dizzy and nauseous beyond belief.,0,0,0,1,0,0,0,0
The aggressive driver behind me is making me nervous.,0,0,0,1,0,0,0,0
I'm worried about my friendship surviving this argument.,0,0,0,1,0,0,0,0
I'm terrified of repeating the same mistakes my siblings made,0,0,0,1,0,0,0,0
What if I'm not good enough for this promotion and they realize I'm a fraud?,0,0,0,1,0,0,0,0
What if everyone realizes I have no idea what I'm doing?,0,0,0,1,0,0,0,0
The thought of giving birth fills me with overwhelming anxiety.,0,0,0,1,0,0,0,0
The strange noise downstairs at midnight has me frozen with terror.,0,0,0,1,0,0,0,0
I'm terrified of being trapped in this small town forever,0,0,0,1,0,0,0,0
I'm nervous about reconnecting with old friends after so many years,0,0,0,1,0,0,0,0
What if nobody shows up to my wedding? The embarrassment would be crushing,0,0,0,1,0,0,0,0
What if something happens to my dog while I'm away?,0,0,0,1,0,0,0,0
The thought of retirement scares me more than it should,0,0,0,1,0,0,0,0
The nightmares about the accident keep getting more vivid,0,0,0,1,0,0,0,0
The uncertainty about my job security is eating away at my peace of mind,0,0,0,1,0,0,0,0
I'm dreading the moment when I have to tell him the truth,0,0,0,1,0,0,0,0
What if my relationship falls apart like my last one did?,0,0,0,1,0,0,0,0
I'm afraid of being vulnerable and getting hurt again,0,0,0,1,0,0,0,0
The thought of retirement scares me more daily.,0,0,0,1,0,0,0,0
Swimming in deep water makes me hyperventilate immediately,0,0,0,1,0,0,0,0
The strange noises from the attic keep me awake at night,0,0,0,1,0,0,0,0
I'm terrified that my social anxiety is getting worse with age,0,0,0,1,0,0,0,0
The possibility of losing my job keeps me awake worrying,0,0,0,1,0,0,0,0
The test results could change everything and that scares me.,0,0,0,1,0,0,0,0
The idea of my house flooding during the next hurricane season terrifies me,0,0,0,1,0,0,0,0
I'm worried about my ability to handle unexpected emergencies alone,0,0,0,1,0,0,0,0
The thought of surgery makes me feel physically sick.,0,0,0,1,0,0,0,0
The plane is shaking and I'm completely convinced we're going to crash,0,0,0,1,0,0,0,0
I dread the annual performance review with my demanding supervisor.,0,0,0,1,0,0,0,0
The thought of flying in that tiny airplane makes me nauseous with anxiety.,0,0,0,1,0,0,0,0
What if my addiction recovery doesn't last permanently?,0,0,0,1,0,0,0,0
I'm worried about my mother living alone at her age,0,0,0,1,0,0,0,0
I'm frightened by how angry I get sometimes and what I might do.,0,0,0,1,0,0,0,0
What if the project deadline is impossible to meet?,0,0,0,1,0,0,0,0
The creaking sounds upstairs are making me incredibly uneasy tonight,0,0,0,1,0,0,0,0
The performance review could determine my entire future here.,0,0,0,1,0,0,0,0
I'm scared my depression will return stronger than ever before,0,0,0,1,0,0,0,0
I'm afraid of elevators breaking down and being trapped for hours alone.,0,0,0,1,0,0,0,0
The storm outside sounds violent and our old house feels so fragile.,0,0,0,1,0,0,0,0
The thought of Alzheimer's disease runs through my family history,0,0,0,1,0,0,0,0
The thought of my spouse cheating on me makes me check their phone obsessively,0,0,0,1,0,0,0,0
My palms are sweating just thinking about the dentist appointment,0,0,0,1,0,0,0,0
I'm terrified that my secret will be exposed at the worst possible moment.,0,0,0,1,0,0,0,0
I'm frightened of commitment in serious relationships,0,0,0,1,0,0,0,0
The deadline is approaching and I'm panicking about meeting expectations,0,0,0,1,0,0,0,0
The possibility of my house being destroyed by wildfire keeps me awake tonight,0,0,0,1,0,0,0,0
The deadline is approaching and I haven't even started the project yet.,0,0,0,1,0,0,0,0
The college acceptance letter could change everything.,0,0,0,1,0,0,0,0
The uncertainty about the economy has me constantly stressed,0,0,0,1,0,0,0,0
Flying has always been my worst nightmare but I have no other choice now,0,0,0,1,0,0,0,0
I'm absolutely petrified that my secret will be exposed at the worst possible moment.,0,0,0,1,0,0,0,0
I'm trembling at the thought of driving again.,0,0,0,1,0,0,0,0
I'm petrified of losing my job during these uncertain economic times.,0,0,0,1,0,0,0,0
Elevators trap me in a box of pure panic and claustrophobia.,0,0,0,1,0,0,0,0
I'm petrified of deep water since my near-drowning experience,0,0,0,1,0,0,0,0
What if my health problems are more serious than expected?,0,0,0,1,0,0,0,0
The thought of my mortgage payments stretching for thirty more years overwhelms,0,0,0,1,0,0,0,0
What if this persistent fatigue indicates something serious?,0,0,0,1,0,0,0,0
This chest tightness during exercise might be heart problems,0,0,0,1,0,0,0,0
I'm troubled by the strange behavior my friend has been showing,0,0,0,1,0,0,0,0
I'm worried about my ability to be a good parent to this unexpected pregnancy,0,0,0,1,0,0,0,0
I'm anxious about my dog's surgery and potential complications tomorrow,0,0,0,1,0,0,0,0
My hands shake uncontrollably before every performance.,0,0,0,1,0,0,0,0
My hands shake uncontrollably before every piano recital performance,0,0,0,1,0,0,0,0
The strange symptoms have me convinced something is seriously wrong,0,0,0,1,0,0,0,0
What if something terrible happens while I'm away?,0,0,0,1,0,0,0,0
The medical bills are piling up beyond our means.,0,0,0,1,0,0,0,0
The fire alarm is broken and I smell smoke somewhere,0,0,0,1,0,0,0,0
What if the bank rejects our mortgage application?,0,0,0,1,0,0,0,0
The dog's aggressive barking makes me freeze completely.,0,0,0,1,0,0,0,0
What if climate change ruins the world for future generations?,0,0,0,1,0,0,0,0
I'm worried about the long commute safety,0,0,0,1,0,0,0,0
The strange chest pains could be nothing or something life-threatening,0,0,0,1,0,0,0,0
My chest tightens when I think about confronting my roommate about their behavior.,0,0,0,1,0,0,0,0
My hands shake uncontrollably before every presentation,0,0,0,1,0,0,0,0
I feel scared about how divided our country has become,0,0,0,1,0,0,0,0
The possibility of my parents' divorce scares me immensely.,0,0,0,1,0,0,0,0
What if my health insurance doesn't cover the treatment I need?,0,0,0,1,0,0,0,0
I'm afraid my depression is getting worse despite all the therapy and medication,0,0,0,1,0,0,0,0
The dentist appointment tomorrow has me absolutely petrified with anxiety,0,0,0,1,0,0,0,0
The job market looks bleak for recent graduates in my field.,0,0,0,1,0,0,0,0
I'm scared of never overcoming my social anxiety issues.,0,0,0,1,0,0,0,0
The elevator suddenly stopping made me panic,0,0,0,1,0,0,0,0
The possibility of another pandemic happening soon worries me greatly.,0,0,0,1,0,0,0,0
What if I have a panic attack during tomorrow's important job interview presentation?,0,0,0,1,0,0,0,0
What if I forget my lines during the performance and disappoint everyone?,0,0,0,1,0,0,0,0
I'm frightened by how quickly my savings account is emptying,0,0,0,1,0,0,0,0
I'm frightened by the increasing crime in our area.,0,0,0,1,0,0,0,0
What if my partner stops loving me someday?,0,0,0,1,0,0,0,0
I'm worried about my teenager's reckless driving habits,0,0,0,1,0,0,0,0
What if I can't protect my family from this economic crisis,0,0,0,1,0,0,0,0
This argument with my spouse feels like it's escalating dangerously,0,0,0,1,0,0,0,0
I'm shaking with fear about the biopsy results coming back.,0,0,0,1,0,0,0,0
The dark alley gave me an immediate sense of unease,0,0,0,1,0,0,0,0
I'm afraid my anxiety will ruin everything again.,0,0,0,1,0,0,0,0
The deadline is approaching and I'm completely overwhelmed,0,0,0,1,0,0,0,0
This strange symptom appeared overnight and it's concerning,0,0,0,1,0,0,0,0
Will I ever feel safe walking alone at night again?,0,0,0,1,0,0,0,0
I'm scared that my anger issues will push away everyone I care about,0,0,0,1,0,0,0,0
The thought of alzheimer's disease running in my family haunts me,0,0,0,1,0,0,0,0
The cybersecurity breach at work might have compromised all our personal information.,0,0,0,1,0,0,0,0
The spider in my bedroom corner has me sleeping elsewhere tonight,0,0,0,1,0,0,0,0
I'm terrified of becoming my father as I get older.,0,0,0,1,0,0,0,0
The strange noises upstairs are making me incredibly uneasy,0,0,0,1,0,0,0,0
What if I'm not good enough for this promotion? The interview tomorrow has me shaking.,0,0,0,1,0,0,0,0
I'm absolutely petrified of flying in this storm.,0,0,0,1,0,0,0,0
Walking alone at night fills me with overwhelming anxiety,0,0,0,1,0,0,0,0
I'm genuinely afraid that my career has stagnated and I'll never advance further,0,0,0,1,0,0,0,0
I'm scared of becoming irrelevant in my field,0,0,0,1,0,0,0,0
The way she said goodbye felt so final that it's making me panic.,0,0,0,1,0,0,0,0
What if I'm too old to start over in life,0,0,0,1,0,0,0,0
What if the next generation blames us for the problems we're leaving behind?,0,0,0,1,0,0,0,0
The thought of losing touch with old friends scares me.,0,0,0,1,0,0,0,0
The constant news about crime in our neighborhood unsettles me,0,0,0,1,0,0,0,0
Horror movies give me nightmares for weeks after watching them.,0,0,0,1,0,0,0,0
What if I lose control and say something I'll regret permanently?,0,0,0,1,0,0,0,0
The stranger following me down the street terrified me,0,0,0,1,0,0,0,0
I'm anxious about my child's safety during their first sleepover,0,0,0,1,0,0,0,0
The mysterious email in my inbox fills me with dread,0,0,0,1,0,0,0,0
I'm worried that my memory gaps indicate something seriously wrong.,0,0,0,1,0,0,0,0
The bridge inspection failed - we're trapped on this island,0,0,0,1,0,0,0,0
The creaking sounds upstairs when nobody else is home frighten me,0,0,0,1,0,0,0,0
I'm afraid my best friend will abandon me eventually,0,0,0,1,0,0,0,0
What if my creative work never reaches anyone meaningful?,0,0,0,1,0,0,0,0
What if they discover I'm not qualified for this position?,0,0,0,1,0,0,0,0
I worry constantly that my children aren't safe at school anymore,0,0,0,1,0,0,0,0
I'm petrified of speaking in front of large crowds.,0,0,0,1,0,0,0,0
What if I can never afford to buy a house?,0,0,0,1,0,0,0,0
My chest tightens thinking about the surgery,0,0,0,1,0,0,0,0
What if something happens to the kids while I'm away?,0,0,0,1,0,0,0,0
My stomach churns whenever I think about the test results,0,0,0,1,0,0,0,0
The dark alley ahead filled me with overwhelming dread and uncertainty.,0,0,0,1,0,0,0,0
What if I die before accomplishing anything meaningful in life,0,0,0,1,0,0,0,0
I'm anxious about meeting his parents for the first time this weekend.,0,0,0,1,0,0,0,0
The basement flooding could ruin everything we've stored there.,0,0,0,1,0,0,0,0
I'm deeply worried that my memory problems might be early signs of dementia,0,0,0,1,0,0,0,0
The darkness outside my window fills me with dread,0,0,0,1,0,0,0,0
What if I never escape this cycle of debt,0,0,0,1,0,0,0,0
What if climate change makes our planet uninhabitable for future generations?,0,0,0,1,0,0,0,0
Blood draws make me lightheaded and need to lie down immediately afterward,0,0,0,1,0,0,0,0
I'm terrified of being alone in this big house,0,0,0,1,0,0,0,0
The hostile online comments are making me anxious.,0,0,0,1,0,0,0,0
I'm anxious about whether our marriage can survive this current rough patch,0,0,0,1,0,0,0,0
What if I never find someone who truly loves me,0,0,0,1,0,0,0,0
The doctor's serious expression when reviewing my charts filled me with overwhelming dread and panic.,0,0,0,1,0,0,0,0
I'm panicking about the mortgage payment due next week,0,0,0,1,0,0,0,0
What if this strange pain means something serious is wrong with me,0,0,0,1,0,0,0,0
I'm petrified of spiders but there's one in my bedroom,0,0,0,1,0,0,0,0
I'm terrified of making another costly financial mistake,0,0,0,1,0,0,0,0
What if I'm walking down the wrong path in life,0,0,0,1,0,0,0,0
The thought of being alone forever is my greatest fear,0,0,0,1,0,0,0,0
My chest tightens whenever I think about that upcoming surgery.,0,0,0,1,0,0,0,0
The thought of having to put my father in memory care breaks my heart,0,0,0,1,0,0,0,0
What if the test results show something is seriously wrong?,0,0,0,1,0,0,0,0
The thought of public failure makes my stomach turn,0,0,0,1,0,0,0,0
I'm petrified of deep water after nearly drowning,0,0,0,1,0,0,0,0
I'm scared that my perfectionism is actually sabotaging my relationships and career success,0,0,0,1,0,0,0,0
I'm scared of being vulnerable and getting hurt again,0,0,0,1,0,0,0,0
I can't shake this overwhelming dread that something terrible is about to happen.,0,0,0,1,0,0,0,0
What if I discover my whole life has been built on lies?,0,0,0,1,0,0,0,0
My heart pounds whenever I think about the job interview tomorrow,0,0,0,1,0,0,0,0
What if my marriage falls apart like my parents' did when I was young?,0,0,0,1,0,0,0,0
The storm outside is making me incredibly uneasy,0,0,0,1,0,0,0,0
The storm warning has me checking the windows repeatedly.,0,0,0,1,0,0,0,0
The basement door keeps opening by itself at night,0,0,0,1,0,0,0,0
What if I've made the wrong decision about our relationship?,0,0,0,1,0,0,0,0
I'm afraid that my cultural background will always make me an outsider here,0,0,0,1,0,0,0,0
What if I develop Alzheimer's like my grandfather did?,0,0,0,1,0,0,0,0
Strange symptoms that doctors can't explain make me panic immediately,0,0,0,1,0,0,0,0
I'm terrified of losing my memory like my grandmother.,0,0,0,1,0,0,0,0
I'm frightened by how angry I got yesterday,0,0,0,1,0,0,0,0
What if nobody shows up to my birthday celebration?,0,0,0,1,0,0,0,0
I'm genuinely terrified of public speaking but have to give this speech anyway,0,0,0,1,0,0,0,0
What if I made a terrible mistake by moving here?,0,0,0,1,0,0,0,0
The camping trip sounds fun but I'm worried about bears,0,0,0,1,0,0,0,0
I'm worried about my teenager experimenting with dangerous substances.,0,0,0,1,0,0,0,0
The possibility of failing this exam and disappointing everyone haunts my thoughts constantly,0,0,0,1,0,0,0,0
I'm worried about my friend's drinking problem getting worse,0,0,0,1,0,0,0,0
The possibility of needing long-term care insurance overwhelms me completely,0,0,0,1,0,0,0,0
The financial markets crashing has me very concerned,0,0,0,1,0,0,0,0
The scholarship interview determines my entire educational future and I'm overwhelmed,0,0,0,1,0,0,0,0
I'm scared that my cough might be something more serious,0,0,0,1,0,0,0,0
My performance review is causing sleepless nights.,0,0,0,1,0,0,0,0
What if nobody believes my side of the story,0,0,0,1,0,0,0,0
The thought of being alone forever terrifies me beyond words,0,0,0,1,0,0,0,0
I dread the awkward silence during job interviews tomorrow.,0,0,0,1,0,0,0,0
I'm worried about my business failing during economic downturns,0,0,0,1,0,0,0,0
I'm trembling at the idea of confronting my boss about this mistake.,0,0,0,1,0,0,0,0
I'm uneasy about trusting my heart to someone new again,0,0,0,1,0,0,0,0
The police sirens in the distance have me locking all doors,0,0,0,1,0,0,0,0
My hands are shaking just thinking about giving that presentation.,0,0,0,1,0,0,0,0
What if I'm not strong enough to handle another crisis?,0,0,0,1,0,0,0,0
That weird smell coming from the basement could indicate a serious gas leak.,0,0,0,1,0,0,0,0
What if my best friend discovers the terrible secret I've been hiding from them,0,0,0,1,0,0,0,0
The deadline is approaching and I'm nowhere near finished.,0,0,0,1,0,0,0,0
The phone keeps ringing with unknown numbers making me paranoid,0,0,0,1,0,0,0,0
The political climate makes me fear for our country's future stability,0,0,0,1,0,0,0,0
I can't stop shaking after that near-miss car accident,0,0,0,1,0,0,0,0
What if the rumors about company changes are true?,0,0,0,1,0,0,0,0
I keep checking the locks but still don't feel safe tonight,0,0,0,1,0,0,0,0
The ice beneath my feet is making crackling sounds,0,0,0,1,0,0,0,0
What if my dog doesn't survive this operation?,0,0,0,1,0,0,0,0
What if the cybersecurity breach exposes all my personal information,0,0,0,1,0,0,0,0
The idea of my daughter moving across the country fills me with overwhelming separation anxiety,0,0,0,1,0,0,0,0
The possibility of another lockdown fills me with claustrophobia,0,0,0,1,0,0,0,0
I'm dreading the confrontation with my roommate about the rent,0,0,0,1,0,0,0,0
The job interview next week is keeping me awake,0,0,0,1,0,0,0,0
My hands shake whenever I think about flying,0,0,0,1,0,0,0,0
I worry that my depression will return stronger than before.,0,0,0,1,0,0,0,0
The uncertainty about layoffs has everyone on edge at work,0,0,0,1,0,0,0,0
The strange noise upstairs has me genuinely concerned.,0,0,0,1,0,0,0,0
What if I regret this major life decision later?,0,0,0,1,0,0,0,0
Crowded spaces make me feel trapped and desperate to escape immediately.,0,0,0,1,0,0,0,0
What if my relationship is actually falling apart?,0,0,0,1,0,0,0,0
Deep water makes me panic even though I know how to swim,0,0,0,1,0,0,0,0
I'm terrified that my partner is cheating behind my back.,0,0,0,1,0,0,0,0
What if the experimental treatment makes my condition worse instead of better?,0,0,0,1,0,0,0,0
